Subject	Group	Trial	Condition	item	Remove	StimSlide.ACC	StimSlide.RT	Structure	Number	First_NP
202	monolingual	1	1	1	no	1	6211	Subject	Match	Singular
202	monolingual	1	1	2	no	1	3893	Subject	Match	Singular
202	monolingual	15	1	3	no	0	4372	Subject	Match	Singular
202	monolingual	26	1	4	no	1	3698	Subject	Match	Singular
202	monolingual	15	1	5	no	1	5628	Subject	Match	Singular
202	monolingual	33	1	6	no	1	3782	Subject	Match	Singular
202	monolingual	23	1	7	no	1	4683	Subject	Match	Singular
202	monolingual	26	1	8	no	1	3781	Subject	Match	Singular
202	monolingual	28	1	9	no	1	4208	Subject	Match	Singular
202	monolingual	24	1	10	no	1	5415	Subject	Match	Singular
202	monolingual	2	2	1	no	1	3517	Object	Match	Singular
202	monolingual	8	2	2	no	1	4855	Object	Match	Singular
202	monolingual	29	2	3	no	1	8656	Object	Match	Singular
202	monolingual	29	2	4	no	1	6931	Object	Match	Singular
202	monolingual	40	2	5	no	1	5948	Object	Match	Singular
202	monolingual	33	2	6	no	0	3218	Object	Match	Singular
202	monolingual	17	2	7	no	1	3498	Object	Match	Singular
202	monolingual	12	2	8	no	1	6089	Object	Match	Singular
202	monolingual	8	2	9	no	1	3860	Object	Match	Singular
202	monolingual	40	2	10	no	1	3928	Object	Match	Singular
202	monolingual	32	3	1	no	1	3708	Subject	Mismatch	Singular
202	monolingual	37	3	2	no	1	3884	Subject	Mismatch	Singular
202	monolingual	37	3	3	no	1	4530	Subject	Mismatch	Singular
202	monolingual	9	3	4	no	1	6452	Subject	Mismatch	Singular
202	monolingual	20	3	5	no	1	3076	Subject	Mismatch	Singular
202	monolingual	9	3	6	no	1	4047	Subject	Mismatch	Singular
202	monolingual	32	3	7	no	1	4847	Subject	Mismatch	Singular
202	monolingual	5	3	8	no	1	4042	Subject	Mismatch	Singular
202	monolingual	19	3	9	no	1	4045	Subject	Mismatch	Singular
202	monolingual	5	3	10	no	1	8018	Subject	Mismatch	Singular
202	monolingual	35	4	1	no	1	3159	Object	Mismatch	Singular
202	monolingual	25	4	2	no	1	3447	Object	Mismatch	Singular
202	monolingual	2	4	3	no	1	6793	Object	Mismatch	Singular
202	monolingual	12	4	4	no	1	3760	Object	Mismatch	Singular
202	monolingual	24	4	6	no	1	3328	Object	Mismatch	Singular
202	monolingual	16	4	7	no	1	4682	Object	Mismatch	Singular
202	monolingual	23	4	9	no	1	5919	Object	Mismatch	Singular
202	monolingual	16	4	10	no	1	3689	Object	Mismatch	Singular
202	monolingual	13	5	1	no	1	5142	Subject	Mismatch	Plural
202	monolingual	22	5	2	no	1	3973	Subject	Mismatch	Plural
202	monolingual	21	5	3	no	1	4722	Subject	Mismatch	Plural
202	monolingual	25	5	4	no	1	6953	Subject	Mismatch	Plural
202	monolingual	3	5	5	no	1	3391	Subject	Mismatch	Plural
202	monolingual	3	5	6	no	1	3857	Subject	Mismatch	Plural
202	monolingual	34	5	7	no	1	3570	Subject	Mismatch	Plural
202	monolingual	13	5	10	no	1	5782	Subject	Mismatch	Plural
202	monolingual	31	6	1	no	1	3736	Object	Mismatch	Plural
202	monolingual	10	6	2	no	1	4032	Object	Mismatch	Plural
202	monolingual	38	6	3	no	1	5890	Object	Mismatch	Plural
202	monolingual	18	6	4	no	1	6091	Object	Mismatch	Plural
202	monolingual	31	6	5	no	1	3174	Object	Mismatch	Plural
202	monolingual	10	6	6	no	1	5142	Object	Mismatch	Plural
202	monolingual	19	6	7	no	1	3981	Object	Mismatch	Plural
202	monolingual	6	6	9	no	1	4120	Object	Mismatch	Plural
202	monolingual	6	6	10	no	1	3757	Object	Mismatch	Plural
202	monolingual	11	7	1	no	1	5108	Subject	Match	Plural
202	monolingual	17	7	2	no	1	5414	Subject	Match	Plural
202	monolingual	30	7	3	no	1	5254	Subject	Match	Plural
202	monolingual	18	7	4	no	1	3759	Subject	Match	Plural
202	monolingual	30	7	5	no	1	3958	Subject	Match	Plural
202	monolingual	39	7	6	no	1	4620	Subject	Match	Plural
202	monolingual	7	7	7	no	1	4493	Subject	Match	Plural
202	monolingual	7	7	8	no	1	4469	Subject	Match	Plural
202	monolingual	11	7	9	no	1	3774	Subject	Match	Plural
202	monolingual	39	7	10	no	1	4982	Subject	Match	Plural
202	monolingual	21	8	1	no	1	4591	Object	Match	Plural
202	monolingual	27	8	2	no	1	4647	Object	Match	Plural
202	monolingual	4	8	3	no	1	4347	Object	Match	Plural
202	monolingual	36	8	4	no	1	4631	Object	Match	Plural
202	monolingual	36	8	5	no	1	8593	Object	Match	Plural
202	monolingual	27	8	6	no	1	4291	Object	Match	Plural
202	monolingual	4	8	7	no	1	4115	Object	Match	Plural
202	monolingual	14	8	8	no	1	8373	Object	Match	Plural
202	monolingual	14	8	9	no	1	3621	Object	Match	Plural
202	monolingual	20	8	10	no	1	4404	Object	Match	Plural
203	monolingual	1	1	1	no	1	9263	Subject	Match	Singular
203	monolingual	1	1	2	no	1	5421	Subject	Match	Singular
203	monolingual	15	1	3	no	1	4133	Subject	Match	Singular
203	monolingual	26	1	4	no	1	5430	Subject	Match	Singular
203	monolingual	15	1	5	no	1	4000	Subject	Match	Singular
203	monolingual	33	1	6	no	1	5114	Subject	Match	Singular
203	monolingual	23	1	7	no	1	7104	Subject	Match	Singular
203	monolingual	26	1	8	no	1	5308	Subject	Match	Singular
203	monolingual	28	1	9	no	1	7087	Subject	Match	Singular
203	monolingual	24	1	10	no	1	3733	Subject	Match	Singular
203	monolingual	2	2	1	no	1	3598	Object	Match	Singular
203	monolingual	8	2	2	no	1	5788	Object	Match	Singular
203	monolingual	29	2	3	no	1	5722	Object	Match	Singular
203	monolingual	29	2	4	no	1	5542	Object	Match	Singular
203	monolingual	40	2	5	no	1	8058	Object	Match	Singular
203	monolingual	33	2	6	no	1	3777	Object	Match	Singular
203	monolingual	17	2	7	no	1	3470	Object	Match	Singular
203	monolingual	12	2	8	no	1	4216	Object	Match	Singular
203	monolingual	8	2	9	no	1	3841	Object	Match	Singular
203	monolingual	40	2	10	no	1	4779	Object	Match	Singular
203	monolingual	32	3	1	no	1	7692	Subject	Mismatch	Singular
203	monolingual	37	3	2	no	1	5371	Subject	Mismatch	Singular
203	monolingual	37	3	3	no	1	5695	Subject	Mismatch	Singular
203	monolingual	9	3	4	no	1	7621	Subject	Mismatch	Singular
203	monolingual	20	3	5	no	1	3927	Subject	Mismatch	Singular
203	monolingual	9	3	6	no	1	5314	Subject	Mismatch	Singular
203	monolingual	32	3	7	no	1	4757	Subject	Mismatch	Singular
203	monolingual	5	3	8	no	1	3638	Subject	Mismatch	Singular
203	monolingual	19	3	9	no	1	4558	Subject	Mismatch	Singular
203	monolingual	5	3	10	no	1	4769	Subject	Mismatch	Singular
203	monolingual	35	4	1	no	1	5157	Object	Mismatch	Singular
203	monolingual	25	4	2	no	1	7274	Object	Mismatch	Singular
203	monolingual	2	4	3	no	1	7030	Object	Mismatch	Singular
203	monolingual	12	4	4	no	1	4787	Object	Mismatch	Singular
203	monolingual	24	4	6	no	1	4252	Object	Mismatch	Singular
203	monolingual	16	4	7	no	1	5707	Object	Mismatch	Singular
203	monolingual	23	4	9	no	1	3803	Object	Mismatch	Singular
203	monolingual	16	4	10	no	0	6344	Object	Mismatch	Singular
203	monolingual	13	5	1	no	1	5615	Subject	Mismatch	Plural
203	monolingual	22	5	2	no	1	3846	Subject	Mismatch	Plural
203	monolingual	21	5	3	no	1	4666	Subject	Mismatch	Plural
203	monolingual	25	5	4	no	1	5680	Subject	Mismatch	Plural
203	monolingual	3	5	5	no	1	7403	Subject	Mismatch	Plural
203	monolingual	3	5	6	no	1	3578	Subject	Mismatch	Plural
203	monolingual	34	5	7	no	1	6301	Subject	Mismatch	Plural
203	monolingual	13	5	10	no	1	6473	Subject	Mismatch	Plural
203	monolingual	31	6	1	no	1	8604	Object	Mismatch	Plural
203	monolingual	10	6	2	no	1	4733	Object	Mismatch	Plural
203	monolingual	38	6	3	no	1	3706	Object	Mismatch	Plural
203	monolingual	18	6	4	no	1	4492	Object	Mismatch	Plural
203	monolingual	31	6	5	no	1	4733	Object	Mismatch	Plural
203	monolingual	10	6	6	no	1	6677	Object	Mismatch	Plural
203	monolingual	19	6	7	no	1	5396	Object	Mismatch	Plural
203	monolingual	6	6	9	no	1	8168	Object	Mismatch	Plural
203	monolingual	6	6	10	no	1	3470	Object	Mismatch	Plural
203	monolingual	11	7	1	no	1	7723	Subject	Match	Plural
203	monolingual	17	7	2	no	1	5640	Subject	Match	Plural
203	monolingual	30	7	3	no	1	3983	Subject	Match	Plural
203	monolingual	18	7	4	no	1	4076	Subject	Match	Plural
203	monolingual	30	7	5	no	1	10317	Subject	Match	Plural
203	monolingual	39	7	6	no	1	3790	Subject	Match	Plural
203	monolingual	7	7	7	no	1	4500	Subject	Match	Plural
203	monolingual	7	7	8	no	1	6439	Subject	Match	Plural
203	monolingual	11	7	9	no	1	5341	Subject	Match	Plural
203	monolingual	39	7	10	no	1	5296	Subject	Match	Plural
203	monolingual	21	8	1	no	1	5905	Object	Match	Plural
203	monolingual	27	8	2	no	1	5419	Object	Match	Plural
203	monolingual	4	8	3	no	1	3568	Object	Match	Plural
203	monolingual	36	8	4	no	1	6270	Object	Match	Plural
203	monolingual	36	8	5	no	1	5472	Object	Match	Plural
203	monolingual	27	8	6	no	1	3408	Object	Match	Plural
203	monolingual	4	8	7	no	1	5837	Object	Match	Plural
203	monolingual	14	8	8	no	1	4586	Object	Match	Plural
203	monolingual	14	8	9	no	1	6147	Object	Match	Plural
203	monolingual	20	8	10	no	1	4927	Object	Match	Plural
205	monolingual	1	1	1	no	1	5360	Subject	Match	Singular
205	monolingual	1	1	2	no	1	4008	Subject	Match	Singular
205	monolingual	15	1	3	no	1	5495	Subject	Match	Singular
205	monolingual	26	1	4	no	1	3582	Subject	Match	Singular
205	monolingual	15	1	5	no	1	4268	Subject	Match	Singular
205	monolingual	33	1	6	no	1	4322	Subject	Match	Singular
205	monolingual	23	1	7	no	1	4145	Subject	Match	Singular
205	monolingual	26	1	8	no	1	4569	Subject	Match	Singular
205	monolingual	28	1	9	no	1	3619	Subject	Match	Singular
205	monolingual	24	1	10	no	1	3748	Subject	Match	Singular
205	monolingual	2	2	1	no	1	6006	Object	Match	Singular
205	monolingual	8	2	2	no	1	4526	Object	Match	Singular
205	monolingual	29	2	3	no	0	4003	Object	Match	Singular
205	monolingual	29	2	4	no	1	3837	Object	Match	Singular
205	monolingual	40	2	5	no	1	5047	Object	Match	Singular
205	monolingual	33	2	6	no	1	3614	Object	Match	Singular
205	monolingual	17	2	7	no	1	3673	Object	Match	Singular
205	monolingual	12	2	8	no	1	3645	Object	Match	Singular
205	monolingual	8	2	9	no	1	4304	Object	Match	Singular
205	monolingual	40	2	10	no	1	5633	Object	Match	Singular
205	monolingual	32	3	1	no	1	3711	Subject	Mismatch	Singular
205	monolingual	37	3	2	no	1	3750	Subject	Mismatch	Singular
205	monolingual	37	3	3	no	1	4744	Subject	Mismatch	Singular
205	monolingual	9	3	4	no	1	4529	Subject	Mismatch	Singular
205	monolingual	20	3	5	no	1	3178	Subject	Mismatch	Singular
205	monolingual	9	3	6	no	1	4723	Subject	Mismatch	Singular
205	monolingual	32	3	7	no	1	4734	Subject	Mismatch	Singular
205	monolingual	5	3	8	no	1	3951	Subject	Mismatch	Singular
205	monolingual	19	3	9	no	1	4348	Subject	Mismatch	Singular
205	monolingual	5	3	10	no	1	4927	Subject	Mismatch	Singular
205	monolingual	35	4	1	no	1	4022	Object	Mismatch	Singular
205	monolingual	25	4	2	no	1	3531	Object	Mismatch	Singular
205	monolingual	2	4	3	no	1	4686	Object	Mismatch	Singular
205	monolingual	12	4	4	no	1	3959	Object	Mismatch	Singular
205	monolingual	24	4	6	no	1	4486	Object	Mismatch	Singular
205	monolingual	16	4	7	no	1	4786	Object	Mismatch	Singular
205	monolingual	23	4	9	no	1	3643	Object	Mismatch	Singular
205	monolingual	16	4	10	no	1	4256	Object	Mismatch	Singular
205	monolingual	13	5	1	no	1	3861	Subject	Mismatch	Plural
205	monolingual	22	5	2	no	1	4270	Subject	Mismatch	Plural
205	monolingual	21	5	3	no	1	4635	Subject	Mismatch	Plural
205	monolingual	25	5	4	no	1	6646	Subject	Mismatch	Plural
205	monolingual	3	5	5	no	1	3895	Subject	Mismatch	Plural
205	monolingual	3	5	6	no	1	3712	Subject	Mismatch	Plural
205	monolingual	34	5	7	no	1	3756	Subject	Mismatch	Plural
205	monolingual	13	5	10	no	1	4577	Subject	Mismatch	Plural
205	monolingual	31	6	1	no	1	3884	Object	Mismatch	Plural
205	monolingual	10	6	2	no	1	3809	Object	Mismatch	Plural
205	monolingual	38	6	3	no	1	3932	Object	Mismatch	Plural
205	monolingual	18	6	4	no	1	3572	Object	Mismatch	Plural
205	monolingual	31	6	5	no	1	3398	Object	Mismatch	Plural
205	monolingual	10	6	6	no	1	3620	Object	Mismatch	Plural
205	monolingual	19	6	7	no	1	3542	Object	Mismatch	Plural
205	monolingual	6	6	9	no	1	4400	Object	Mismatch	Plural
205	monolingual	6	6	10	no	1	6025	Object	Mismatch	Plural
205	monolingual	11	7	1	no	1	4047	Subject	Match	Plural
205	monolingual	17	7	2	no	1	3714	Subject	Match	Plural
205	monolingual	30	7	3	no	1	3632	Subject	Match	Plural
205	monolingual	18	7	4	no	1	4051	Subject	Match	Plural
205	monolingual	30	7	5	no	1	4014	Subject	Match	Plural
205	monolingual	39	7	6	no	1	4185	Subject	Match	Plural
205	monolingual	7	7	7	no	1	4716	Subject	Match	Plural
205	monolingual	7	7	8	no	1	4201	Subject	Match	Plural
205	monolingual	11	7	9	no	1	3971	Subject	Match	Plural
205	monolingual	39	7	10	no	1	5375	Subject	Match	Plural
205	monolingual	21	8	1	no	1	4730	Object	Match	Plural
205	monolingual	27	8	2	no	1	4109	Object	Match	Plural
205	monolingual	4	8	3	no	1	3796	Object	Match	Plural
205	monolingual	36	8	4	no	1	5778	Object	Match	Plural
205	monolingual	36	8	5	no	1	6290	Object	Match	Plural
205	monolingual	27	8	6	no	1	3480	Object	Match	Plural
205	monolingual	4	8	7	no	1	5119	Object	Match	Plural
205	monolingual	14	8	8	no	1	5877	Object	Match	Plural
205	monolingual	14	8	9	no	1	3667	Object	Match	Plural
205	monolingual	20	8	10	no	1	4416	Object	Match	Plural
206	monolingual	1	1	1	no	1	3763	Subject	Match	Singular
206	monolingual	1	1	2	no	1	6564	Subject	Match	Singular
206	monolingual	15	1	3	no	1	7309	Subject	Match	Singular
206	monolingual	26	1	4	no	1	10406	Subject	Match	Singular
206	monolingual	15	1	5	no	1	6025	Subject	Match	Singular
206	monolingual	33	1	6	no	1	3422	Subject	Match	Singular
206	monolingual	23	1	7	no	1	4403	Subject	Match	Singular
206	monolingual	26	1	8	no	1	3826	Subject	Match	Singular
206	monolingual	28	1	9	no	1	5317	Subject	Match	Singular
206	monolingual	24	1	10	no	1	6816	Subject	Match	Singular
206	monolingual	2	2	1	no	1	4358	Object	Match	Singular
206	monolingual	8	2	2	no	1	5984	Object	Match	Singular
