speaker,file,word,time,rel_time,cq,language,vowel,voicing,place
it01,it01-001,pugu,1.4956880665014323,0.06180615603705359,0.4643863376957768,Italian,u,voiced,velar
it01,it01-001,pugu,1.5030918779872613,0.13954690607179904,0.5194339163082116,Italian,u,voiced,velar
it01,it01-001,pugu,1.5105181964311936,0.21752398138404455,0.5439611419907604,Italian,u,voiced,velar
it01,it01-001,pugu,1.5181003995355462,0.29713786098867206,0.5508214056616141,Italian,u,voiced,velar
it01,it01-001,pugu,1.5255736465797307,0.37560769122703536,0.5649248157816125,Italian,u,voiced,velar
it01,it01-001,pugu,1.5329392065452632,0.4529467965300752,0.564168856073451,Italian,u,voiced,velar
it01,it01-001,pugu,1.540265308525336,0.5298715890983342,0.5689609074102744,Italian,u,voiced,velar
it01,it01-001,pugu,1.5475168566616668,0.6060135589621577,0.569554551098568,Italian,u,voiced,velar
it01,it01-001,pugu,1.5547131775264336,0.6815756370334919,0.581372226369469,Italian,u,voiced,velar
it01,it01-001,pugu,1.561869728684794,0.7567201292693948,0.5784061353458385,Italian,u,voiced,velar
it01,it01-001,pugu,1.5690906311836956,0.8325403169209612,0.5773919669400736,Italian,u,voiced,velar
it01,it01-002,pada,0.9461851379211734,0.06098797779226879,0.5708854109698027,Italian,a,voiced,coronal
it01,it01-002,pada,0.9546485341025556,0.12188954649401426,0.5779390658641863,Italian,a,voiced,coronal
it01,it01-002,pada,0.9632168094105463,0.18354581262426775,0.6009480554600117,Italian,a,voiced,coronal
it01,it01-002,pada,0.9716454111951249,0.2441970050820146,0.6009707388453499,Italian,a,voiced,coronal
it01,it01-002,pada,0.9803979030931352,0.30717887137001054,0.6038153737385348,Italian,a,voiced,coronal
it01,it01-002,pada,0.9890389286658803,0.3693586395498017,0.6112562465022744,Italian,a,voiced,coronal
it01,it01-002,pada,0.997628932737795,0.43117126322028565,0.612499239765847,Italian,a,voiced,coronal
it01,it01-002,pada,1.0060839851394325,0.4920127910986482,0.6156902001130804,Italian,a,voiced,coronal
it01,it01-002,pada,1.0145965881558943,0.5532684461958512,0.6366124219164506,Italian,a,voiced,coronal
it01,it01-002,pada,1.022822383411333,0.612460267556834,0.6267342142934107,Italian,a,voiced,coronal
it01,it01-002,pada,1.0309404442689134,0.6708768453049576,0.6260433764562953,Italian,a,voiced,coronal
it01,it01-002,pada,1.0390839248979118,0.7294763406339457,0.6310781157088557,Italian,a,voiced,coronal
it01,it01-002,pada,1.0470969282561409,0.7871369374050176,0.6363075714656201,Italian,a,voiced,coronal
it01,it01-002,pada,1.0550441965593775,0.8443245127220613,0.6349518269319523,Italian,a,voiced,coronal
it01,it01-002,pada,1.062934985193,0.9011056672116323,0.6367555105676219,Italian,a,voiced,coronal
it01,it01-003,poco,1.1487931735198087,0.09642593394396477,0.6261300536133656,Italian,o,voiceless,velar
it01,it01-003,poco,1.1572099026037361,0.16273476188656832,0.6293551092159079,Italian,o,voiceless,velar
it01,it01-003,poco,1.1658110602682703,0.23049655842269642,0.6532192961130514,Italian,o,voiceless,velar
it01,it01-003,poco,1.1742172873996368,0.2967226496918869,0.6603050117329486,Italian,o,voiceless,velar
it01,it01-003,poco,1.1826655900258958,0.36328022088915896,0.6561644619385603,Italian,o,voiceless,velar
it01,it01-003,poco,1.1911853399390926,0.4304006694000867,0.6483633387686188,Italian,o,voiceless,velar
it01,it01-003,poco,1.1996821166481266,0.4973401299967154,0.6610184256880354,Italian,o,voiceless,velar
it01,it01-003,poco,1.208102075582256,0.563674403403844,0.6399833697837666,Italian,o,voiceless,velar
it01,it01-003,poco,1.2164509938792818,0.6294490031734271,0.637558864439633,Italian,o,voiceless,velar
it01,it01-003,poco,1.2246449602862404,0.6940028581482814,0.5974832617951642,Italian,o,voiceless,velar
