Group,ID,List,Target,RT,RT_log,Relation_type,Branching,accuracy
L1,L1_01,A,unawareness,603,6.4019,Unrelated,Left,correct
L1,L1_01,A,unholiness,739,6.6053,Constituent,Left,correct
L1,L1_01,A,unhappiness,370,5.9135,Unrelated,Left,correct
L1,L1_01,A,unsharpness,821,6.7105,Constituent,Left,correct
L1,L1_01,A,unripeness,1035,6.9422,Unrelated,Left,incorrect
L1,L1_01,A,undeniable,833,6.725,Unrelated,Right,correct
L1,L1_01,A,unskillful,740,6.6067,Constituent,Right,correct
L1,L1_01,A,unkindness,498,6.2106,NonConstituent,Left,correct
L1,L1_01,A,unwariness,1133,7.0326,NonConstituent,Left,correct
L1,L1_01,A,unclearness,513,6.2403,Constituent,Left,correct
L1,L1_01,A,unreadable,665,6.4998,Unrelated,Right,correct
L1,L1_01,A,reobtainable,964,6.8711,NonConstituent,Left,incorrect
L1,L1_01,A,resealable,709,6.5639,Unrelated,Left,correct
L1,L1_01,A,untruthful,527,6.2672,Constituent,Right,correct
L1,L1_01,A,unavoidable,1026,6.9334,Unrelated,Right,correct
L1,L1_01,A,untouchable,502,6.2186,Constituent,Right,correct
L1,L1_01,A,unmovable,527,6.2672,Constituent,Right,correct
L1,L1_01,A,ungraceful,470,6.1527,Constituent,Right,correct
L1,L1_01,A,uneventful,631,6.4473,Unrelated,Right,correct
L1,L1_01,A,unthankful,539,6.2897,Unrelated,Right,correct
L1,L1_01,A,recomputable,1154,7.051,Unrelated,Left,incorrect
L1,L1_01,A,readjustable,605,6.4052,Unrelated,Left,correct
L1,L1_01,A,reattachable,694,6.5425,Constituent,Left,correct
L1,L1_01,A,resellable,635,6.4536,Constituent,Left,correct
L1,L1_01,A,unresentful,689,6.5352,Unrelated,Right,correct
L1,L1_01,A,unbreakable,538,6.2879,Constituent,Right,correct
L1,L1_01,A,reclosable,677,6.5177,NonConstituent,Left,correct
L1,L1_01,A,uncleverness,872,6.7708,NonConstituent,Left,correct
L1,L1_01,A,reusable,581,6.3648,NonConstituent,Left,correct
L1,L1_01,A,rehydratable,548,6.3063,Constituent,Left,correct
L1,L1_02,B,unreadable,1015,6.9226,Unrelated,Right,correct
L1,L1_02,B,unwariness,678,6.5191,Unrelated,Left,incorrect
L1,L1_02,B,undeniable,915,6.8189,Unrelated,Right,correct
L1,L1_02,B,readjustable,957,6.8638,Constituent,Left,incorrect
L1,L1_02,B,unsharpness,705,6.5582,NonConstituent,Left,correct
L1,L1_02,B,uneventful,731,6.5944,Unrelated,Right,correct
L1,L1_02,B,ungraceful,667,6.5028,Constituent,Right,correct
L1,L1_02,B,unthankful,602,6.4003,Unrelated,Right,correct
L1,L1_02,B,rehydratable,1107,7.0094,NonConstituent,Left,incorrect
L1,L1_02,B,unmovable,767,6.6425,Constituent,Right,correct
L1,L1_02,B,resealable,871,6.7696,Constituent,Left,correct
L1,L1_02,B,unawareness,544,6.2989,Constituent,Left,correct
L1,L1_02,B,unripeness,774,6.6516,Constituent,Left,correct
L1,L1_02,B,resellable,1592,7.3727,NonConstituent,Left,correct
L1,L1_02,B,uncleverness,1055,6.9613,Unrelated,Left,correct
L1,L1_02,B,reobtainable,693,6.541,Unrelated,Left,incorrect
L1,L1_02,B,untouchable,607,6.4085,Constituent,Right,correct
L1,L1_02,B,reclosable,855,6.7511,Unrelated,Left,correct
L1,L1_02,B,untruthful,644,6.4677,Constituent,Right,correct
L1,L1_02,B,unholiness,997,6.9048,NonConstituent,Left,correct
L1,L1_02,B,unclearness,1147,7.0449,NonConstituent,Left,correct
L1,L1_02,B,unavoidable,970,6.8773,Unrelated,Right,correct
L1,L1_02,B,unresentful,1218,7.105,Unrelated,Right,incorrect
L1,L1_02,B,reusable,845,6.7393,Unrelated,Left,correct
L1,L1_02,B,unbreakable,685,6.5294,Constituent,Right,correct
L1,L1_02,B,unkindness,724,6.5848,Unrelated,Left,correct
L1,L1_02,B,unskillful,663,6.4968,Constituent,Right,correct
L1,L1_02,B,unhappiness,530,6.2729,Constituent,Left,correct
L1,L1_02,B,recomputable,816,6.7044,Constituent,Left,correct
L1,L1_02,B,reattachable,893,6.7946,NonConstituent,Left,correct
L1,L1_03,C,unholiness,860,6.7569,Unrelated,Left,correct
L1,L1_03,C,unbreakable,695,6.5439,Constituent,Right,correct
L1,L1_03,C,unwariness,1117,7.0184,Constituent,Left,correct
L1,L1_03,C,unkindness,986,6.8937,Constituent,Left,correct
L1,L1_03,C,untouchable,898,6.8002,Constituent,Right,correct
L1,L1_03,C,unsharpness,810,6.697,Unrelated,Left,correct
L1,L1_03,C,unhappiness,599,6.3953,NonConstituent,Left,correct
L1,L1_03,C,reattachable,927,6.832,Unrelated,Left,correct
L1,L1_03,C,recomputable,1407,7.2492,NonConstituent,Left,correct
L1,L1_03,C,reusable,653,6.4816,Constituent,Left,correct
L1,L1_03,C,resealable,848,6.7429,NonConstituent,Left,correct
L1,L1_03,C,unawareness,551,6.3117,NonConstituent,Left,correct
L1,L1_03,C,rehydratable,642,6.4646,Unrelated,Left,incorrect
L1,L1_03,C,reclosable,886,6.7867,Constituent,Left,correct
L1,L1_03,C,unresentful,799,6.6834,Unrelated,Right,correct
L1,L1_03,C,unripeness,1024,6.9315,NonConstituent,Left,correct
L1,L1_03,C,unmovable,624,6.4362,Constituent,Right,correct
L1,L1_03,C,resellable,673,6.5117,Unrelated,Left,correct
L1,L1_03,C,untruthful,681,6.5236,Constituent,Right,correct
