speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it01,pugu,1,307.9814639583,796.7977893547,2280.351430182,137.3872519607,95.2372016287,u,voiced,velar
it01,pugu,2,315.0813727447,778.8248186226,2124.1631436217,133.8729307785,95.2372016287,u,voiced,velar
it01,pugu,3,316.4210236974,786.1355142053,2314.363767967,133.792935493,95.2372016287,u,voiced,velar
it01,pugu,4,313.8085632839,789.31582441,2373.9790180012,135.2643859573,95.2372016287,u,voiced,velar
it01,pugu,5,312.8625613206,737.0157944572,2306.7699833604,137.1730632565,95.2372016287,u,voiced,velar
it01,pugu,6,305.4826468491,717.3878036511,2315.3405385126,138.3868405199,95.2372016287,u,voiced,velar
it01,pugu,7,290.7670635481,712.6107888933,2317.5456048807,138.2257342546,95.2372016287,u,voiced,velar
it01,pugu,8,280.0708564104,733.2694490437,2308.3330774569,136.8940850002,95.2372016287,u,voiced,velar
it01,pugu,9,286.555560722,783.6862638576,2329.0035906726,135.6510375189,95.2372016287,u,voiced,velar
it01,pada,1,651.1349393707,1118.5149112349,2154.8210464941,120.3368135396,138.9684430434,a,voiced,coronal
it01,pada,2,731.018559794,1214.5689018226,2190.7566040224,118.7428368855,138.9684430434,a,voiced,coronal
it01,pada,3,772.0609570986,1216.8590503004,2181.1025802381,116.8429971845,138.9684430434,a,voiced,coronal
it01,pada,4,775.7535552655,1224.6172330896,2156.7264694614,117.1947765009,138.9684430434,a,voiced,coronal
it01,pada,5,780.6591699293,1231.4508606339,2144.3473372042,118.8466049515,138.9684430434,a,voiced,coronal
it01,pada,6,766.4984165577,1239.5864342549,2125.5939914052,120.3707640022,138.9684430434,a,voiced,coronal
it01,pada,7,716.0838745923,1274.3276691456,2111.2167658341,123.099639622,138.9684430434,a,voiced,coronal
it01,pada,8,662.8287449256,1290.5436623644,2126.6394925988,124.5558635465,138.9684430434,a,voiced,coronal
it01,pada,9,585.6864784091,1275.6643235152,2132.4578137684,124.8535627324,138.9684430434,a,voiced,coronal
it01,poco,1,487.2635256222,875.4906836651,2331.3990560856,122.0900846295,126.9322554037,o,voiceless,velar
it01,poco,2,524.8943520967,912.1756799354,2342.6991281648,118.1554225007,126.9322554037,o,voiceless,velar
it01,poco,3,553.7546476492,913.7913946266,2337.6004513036,118.2673198853,126.9322554037,o,voiceless,velar
it01,poco,4,566.0870360536,912.3705882092,2291.8139628542,117.9591626369,126.9322554037,o,voiceless,velar
it01,poco,5,563.4662171801,899.0400358423,2210.6072308892,117.6925318162,126.9322554037,o,voiceless,velar
it01,poco,6,565.0405020682,898.4631596624,2095.8359697242,118.6873021098,126.9322554037,o,voiceless,velar
it01,poco,7,550.9625880481,925.2440108853,1983.1415798293,120.5171410962,126.9322554037,o,voiceless,velar
